"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"الدار البيضاء-سطات","Casablanca-Settat","7651096"
"الرباط-سلا-القنيطرة","Rabat-Salé-Kénitra","5088656"
"مراكش-آسفي","Marrakech-Safi","4864187"
"فاس-مكناس","Fès-Meknès","4436873"
"طنجة-تطوان-الحسيمة","Tanger-Tétouan-Al Hoceima","4008655"
"سوس-ماسة","Souss-Massa","2994360"
"بني ملال-خنيفرة","Béni Mellal-Khénifra","2510799"
"الشرق","l'Oriental","2269378"
"درعة-تافيلالت","Drâa-Tafilalet","1643144"
"العيون-الساقية الحمراء","Laâyoune-Sakia El Hamra","419169"
"كلميم-واد نون","Guelmim-Oued Noun","417663"
"الداخلة-وادي الذهب","Dakhla-Oued Ed-Dahab","186611"